year,visas,yoy_change,yoy_pct,ma_3yr
2005,191318,NA,NA,NA
2006,230794,39476,20.633709321652955,233605.33333333334
2007,278704,47910,20.758771891816945,276376
2008,319630,40926,14.684396348814513,289609
2009,270493,-49137,-15.373087632575167,280186
2010,250435,-20058,-7.415349010880133,257991.33333333334
2011,253046,2611,1.0425859005330724,254253
2012,259278,6232,2.4627933261146198,268128
2013,292060,32782,12.64357176466958,283626
2014,299540,7480,2.5611175785797435,300815
2015,310845,11305,3.774120317820658,317806.6666666667
2016,343035,32190,10.355643487911982,344057.3333333333
2017,378292,35257,10.277959974929672,375689.6666666667
2018,405742,27450,7.256299366626838,374728.6666666667
2019,340152,-65590,-16.165445036501026,326214.6666666667
2020,232750,-107402,-31.57470777769938,278879.6666666667
2021,263737,30987,13.313426423200859,357927.3333333333
2022,577295,313558,118.89040976427275,405921
2023,376731,-200564,-34.742029638226555,441863.3333333333
2024,371564,-5167,-1.3715356580690201,361940.6666666667
2025,337527,-34037,-9.1604676448741,NA
